"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Derrick Henry",TEN,"RB3","13","3 out of 5 stars","0"
"4",1,"Alvin Kamara",NO,"RB4","6","2 out of 5 stars","0"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Davante Adams",GB,"WR1","13","1 out of 5 stars","+6"
"7",1,"Aaron Jones",GB,"RB6","13","0 out of 5 stars","+2"
"8",1,"Saquon Barkley",NYG,"RB7","10","2 out of 5 stars","-2"
"9",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","+2"
"10",2,"Nick Chubb",CLE,"RB8","13","4 out of 5 stars","-3"
"11",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+2"
"12",2,"Austin Ekeler",LAC,"RB9","7","4 out of 5 stars","+2"
"13",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-3"
"14",2,"Jonathan Taylor",IND,"RB10","14","4 out of 5 stars","-6"
"15",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+5"
"16",2,"DeAndre Hopkins",ARI,"WR5","12","2 out of 5 stars","+1"
"17",2,"Antonio Gibson",WAS,"RB11","9","3 out of 5 stars","-1"
"18",2,"Joe Mixon",CIN,"RB12","10","3 out of 5 stars","+1"
"19",2,"D.K. Metcalf",SEA,"WR6","9","1 out of 5 stars","+2"
"20",3,"A.J. Brown",TEN,"WR7","13","3 out of 5 stars","+4"
"21",3,"Justin Jefferson",MIN,"WR8","7","3 out of 5 stars","+2"
"22",3,"Najee Harris",PIT,"RB13","7","5 out of 5 stars","-7"
"23",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","+6"
"24",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-2"
"25",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+1"
"26",3,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","+9"
"27",3,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","+4"
"28",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-10"
"29",3,"J.K. Dobbins",BAL,"RB15","8","4 out of 5 stars","-4"
"30",3,"D'Andre Swift",DET,"RB16","9","0 out of 5 stars","+4"
"31",3,"Chris Carson",SEA,"RB17","9","1 out of 5 stars","+1"
"32",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+6"
"33",3,"David Montgomery",CHI,"RB18","10","3 out of 5 stars","-5"
"34",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","-7"
"35",3,"Mike Evans",TB,"WR13","9","2 out of 5 stars","+2"
"36",4,"Robert Woods",LAR,"WR14","11","5 out of 5 stars","+8"
"37",4,"Amari Cooper",DAL,"WR15","7","1 out of 5 stars","+5"
"38",4,"Chris Godwin",TB,"WR16","9","2 out of 5 stars","+3"
"39",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-3"
"40",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","-1"
"41",4,"Josh Jacobs",LV,"RB20","8","2 out of 5 stars","-11"
"42",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+16"
"43",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-10"
"44",4,"Darrell Henderson",LAR,"RB21","11","4 out of 5 stars","+12"
"45",4,"Cooper Kupp",LAR,"WR19","11","5 out of 5 stars","+5"
"46",4,"Myles Gaskin",MIA,"RB22","14","4 out of 5 stars","-3"
"47",4,"Diontae Johnson",PIT,"WR20","7","2 out of 5 stars","+10"
"48",4,"Tyler Lockett",SEA,"WR21","9","1 out of 5 stars","+7"
"49",4,"Adam Thielen",MIN,"WR22","7","3 out of 5 stars","-3"
"50",4,"Kareem Hunt",CLE,"RB23","13","4 out of 5 stars","-1"
"51",4,"Mike Davis",ATL,"RB24","6","2 out of 5 stars","+3"
"52",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-12"
"53",4,"T.J. Hockenson",DET,"TE4","9","4 out of 5 stars","0"
"54",4,"Mark Andrews",BAL,"TE5","8","4 out of 5 stars","-3"
"55",4,"Travis Etienne",JAC,"RB25","7","4 out of 5 stars","+7"
"56",4,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-11"
"57",4,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-10"
"58",5,"Brandon Aiyuk",SF,"WR23","6","5 out of 5 stars","+8"
"59",5,"Kenny Golladay",NYG,"WR24","10","3 out of 5 stars","+4"
"60",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-8"
"61",5,"Tee Higgins",CIN,"WR25","10","2 out of 5 stars","+12"
"62",5,"Chase Edmonds",ARI,"RB26","12","3 out of 5 stars","+2"
"63",5,"Ja'Marr Chase",CIN,"WR26","10","2 out of 5 stars","+7"
"64",5,"Damien Harris",NE,"RB27","14","3 out of 5 stars","+12"
"65",5,"Javonte Williams",DEN,"RB28","11","5 out of 5 stars","+3"
"66",5,"Odell Beckham Jr.",CLE,"WR27","13","1 out of 5 stars","+3"
"67",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-6"
"68",5,"Melvin Gordon III",DEN,"RB29","11","5 out of 5 stars","+7"
"69",5,"Raheem Mostert",SF,"RB30","6","3 out of 5 stars","-2"
"70",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-5"
"71",5,"James Robinson",JAC,"RB31","7","4 out of 5 stars","-23"
"72",5,"Chase Claypool",PIT,"WR28","7","2 out of 5 stars","0"
"73",5,"Ronald Jones II",TB,"RB32","9","0 out of 5 stars","-2"
"74",5,"Courtland Sutton",DEN,"WR29","11","4 out of 5 stars","+12"
"75",5,"Michael Carter",NYJ,"RB33","6","4 out of 5 stars","+8"
"76",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-16"
"77",5,"JuJu Smith-Schuster",PIT,"WR30","7","2 out of 5 stars","+3"
"78",5,"David Johnson",HOU,"RB34","10","4 out of 5 stars","+4"
"79",5,"Robby Anderson",CAR,"WR31","13","5 out of 5 stars","+8"
"80",5,"Dallas Goedert",PHI,"TE7","14","3 out of 5 stars","+1"
"81",5,"Trey Sermon",SF,"RB35","6","3 out of 5 stars","+12"
"82",5,"Noah Fant",DEN,"TE8","11","4 out of 5 stars","-5"
"83",5,"Leonard Fournette",TB,"RB36","9","0 out of 5 stars","-5"
