"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","AVG"
"1","Christian McCaffrey","CAR","13","RB1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2.0"
"3","Derrick Henry","TEN","13","RB3","3","3","3","3.0"
"4","Alvin Kamara","NO","6","RB4","4","4","4","4.0"
"5","Ezekiel Elliott","DAL","7","RB5","6","7","5","6.0"
"6","Saquon Barkley","NYG","10","RB6","8","5","7","6.7"
"7","Nick Chubb","CLE","13","RB7","7","8","6","7.0"
"8","Jonathan Taylor","IND","14","RB8","5","6","12","7.7"
"9","Aaron Jones","GB","13","RB9","10","12","8","10.0"
"10","Travis Kelce","KC","12","TE1","12","9","10","10.3"
"11","Tyreek Hill","KC","12","WR1","9","11","11","10.3"
"12","Davante Adams","GB","13","WR2","13","10","9","10.7"
"13","Stefon Diggs","BUF","7","WR3","11","13","15","13.0"
"14","Austin Ekeler","LAC","7","RB10","15","14","13","14.0"
"15","Najee Harris","PIT","7","RB11","20","15","14","16.3"
"16","Antonio Gibson","WAS","9","RB12","16","17","16","16.3"
"17","DeAndre Hopkins","ARI","12","WR4","19","16","19","18.0"
"18","Patrick Mahomes II","KC","12","QB1","14","20","24","19.3"
"19","Joe Mixon","CIN","10","RB13","22","19","18","19.7"
"20","Calvin Ridley","ATL","6","WR5","18","21","20","19.7"
"21","D.K. Metcalf","SEA","9","WR6","23","18","21","20.7"
"22","Clyde Edwards-Helaire","KC","12","RB14","25","26","17","22.7"
"23","Justin Jefferson","MIN","7","WR7","21","23","25","23.0"
"24","A.J. Brown","TEN","13","WR8","24","24","26","24.7"
"25","J.K. Dobbins","BAL","8","RB15","26","27","22","25.0"
"26","Darren Waller","LV","8","TE2","29","25","23","25.7"
"27","George Kittle","SF","6","TE3","27","22","30","26.3"
"28","David Montgomery","CHI","10","RB16","32","31","29","30.7"
"29","Keenan Allen","LAC","7","WR9","33","29","31","31.0"
"30","Josh Jacobs","LV","8","RB17","39","28","27","31.3"
"31","Terry McLaurin","WAS","9","WR10","30","35","33","32.7"
"32","Chris Carson","SEA","9","RB18","38","33","28","33.0"
"33","Josh Allen","BUF","7","QB2","28","34","37","33.0"
"34","D'Andre Swift","DET","9","RB19","37","30","32","33.0"
"35","Allen Robinson II","CHI","10","WR11","31","36","36","34.3"
"36","Miles Sanders","PHI","14","RB20","36","32","35","34.3"
"37","Mike Evans","TB","9","WR12","34","37","41","37.3"
"38","CeeDee Lamb","DAL","7","WR13","40","38","34","37.3"
"39","Julio Jones","TEN","13","WR14","43","39","40","40.7"
"40","Kyler Murray","ARI","12","QB3","42","40","42","41.3"
"41","Chris Godwin","TB","9","WR15","35","42","50","42.3"
"42","Amari Cooper","DAL","7","WR16","44","41","44","43.0"
"43","Myles Gaskin","MIA","14","RB21","52","45","38","45.0"
"44","Robert Woods","LAR","11","WR17","45","44","47","45.3"
"45","Lamar Jackson","BAL","8","QB4","41","50","49","46.7"
"46","Adam Thielen","MIN","7","WR18","49","43","51","47.7"
"47","Kyle Pitts","ATL","6","TE4","51","55","45","50.3"
"48","James Robinson","JAC","7","RB22","67","46","39","50.7"
"49","Kareem Hunt","CLE","13","RB23","57","47","48","50.7"
"50","Cooper Kupp","LAR","11","WR19","50","51","55","52.0"
"51","Mark Andrews","BAL","8","TE5","46","56","56","52.7"
"52","Dak Prescott","DAL","7","QB5","53","48","57","52.7"
