"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","605.1","400.0","4,566.0","33.7","13.3","110.9","519.5","7.6","5.1","378.6"
"Patrick Mahomes II","KC","630.5","418.9","5,027.8","38.5","9.1","55.3","267.2","2.9","2.5","376.4"
"Kyler Murray","ARI","588.5","389.7","4,198.9","26.7","12.9","125.8","698.8","7.7","3.7","357.6"
"Lamar Jackson","BAL","462.1","296.0","3,377.2","28.6","12.2","152.9","920.1","6.7","4.0","349.2"
"Dak Prescott","DAL","623.3","416.4","4,848.5","31.0","11.1","63.4","296.5","4.0","4.2","341.3"
"Aaron Rodgers","GB","571.7","385.5","4,447.7","37.1","7.2","41.0","174.1","1.9","3.1","334.6"
"Russell Wilson","SEA","569.8","380.0","4,242.2","34.4","12.3","82.8","447.3","2.1","3.5","332.9"
"Justin Herbert","LAC","616.0","400.0","4,581.5","30.5","12.0","61.2","272.9","4.4","2.6","329.5"
"Tom Brady","TB","621.2","404.4","4,694.7","37.0","11.9","24.5","31.7","2.1","2.2","323.4"
"Jalen Hurts","PHI","536.6","328.0","3,703.3","22.5","14.4","133.8","691.0","5.7","4.8","303.6"
"Ryan Tannehill","TEN","527.5","348.9","4,123.3","30.3","10.5","51.8","229.6","3.5","2.9","303.0"
"Joe Burrow","CIN","610.3","398.7","4,299.9","26.4","11.7","54.3","228.4","3.0","4.2","286.9"
"Matthew Stafford","LAR","612.8","405.7","4,567.4","28.7","11.5","33.3","126.4","0.7","3.2","285.0"
"Trevor Lawrence","JAC","590.5","377.7","4,131.0","25.0","13.5","66.8","342.6","2.3","5.2","276.0"
"Kirk Cousins","MIN","541.6","364.0","4,272.1","30.1","13.0","35.4","114.4","1.1","4.1","275.0"
"Matt Ryan","ATL","613.7","401.0","4,509.5","26.8","13.0","32.7","117.4","1.4","4.3","272.9"
"Baker Mayfield","CLE","536.7","342.6","3,943.1","28.0","11.4","44.1","168.1","1.8","3.3","267.6"
"Derek Carr","LV","564.8","374.3","4,308.3","26.4","10.9","30.4","106.9","1.8","5.2","266.8"
"Tua Tagovailoa","MIA","573.6","373.7","3,940.4","25.7","13.5","54.3","205.8","2.7","1.7","266.6"
"Ben Roethlisberger","PIT","618.3","400.9","4,179.3","29.6","14.0","20.8","44.9","0.5","2.2","260.5"
"Ryan Fitzpatrick","WAS","568.4","375.8","4,016.9","23.0","16.6","49.3","237.5","3.0","2.3","256.6"
"Daniel Jones","NYG","546.9","342.4","3,749.3","22.4","13.6","70.3","403.0","2.6","8.5","251.6"
"Sam Darnold","CAR","556.1","350.6","3,920.6","22.0","15.0","50.3","219.8","3.3","3.9","248.6"
"Zach Wilson","NYJ","551.4","344.6","3,870.2","21.0","15.7","65.8","310.9","2.3","5.5","241.2"
"Jared Goff","DET","579.6","371.3","4,157.7","22.5","14.9","39.4","89.1","1.7","4.2","236.9"
"Justin Fields","CHI","461.6","294.5","3,159.1","19.8","11.2","68.9","343.7","2.8","4.5","225.6"
"Trey Lance","SF","381.5","248.1","2,876.9","18.1","10.3","69.2","347.3","2.9","4.0","211.2"
"Deshaun Watson","HOU","333.9","227.8","2,720.7","16.0","7.4","48.2","228.1","2.5","2.0","192.0"
"Carson Wentz","IND","396.5","247.7","2,718.4","18.4","9.7","45.5","198.6","2.2","4.4","187.4"
"Cam Newton","NE","303.6","198.4","2,188.4","12.7","9.6","81.7","354.5","5.7","1.8","185.0"
"Jameis Winston","NO","382.9","248.0","2,790.5","18.8","12.7","38.1","160.8","0.9","3.9","175.7"
"Teddy Bridgewater","DEN","291.4","185.5","2,096.7","12.7","9.1","31.7","136.0","1.7","1.2","138.1"
"Taysom Hill","NO","183.4","122.4","1,282.7","7.6","4.9","75.6","395.6","4.5","3.4","131.9"
"Tyrod Taylor","HOU","281.3","172.7","1,960.1","10.3","5.3","30.0","141.6","1.2","1.1","128.3"
"Drew Lock","DEN","263.3","155.4","1,783.9","11.0","7.6","28.2","111.5","1.0","2.4","112.4"
"Mac Jones","NE","217.8","136.5","1,536.0","8.9","6.2","18.6","68.8","0.9","1.2","94.2"
"Jimmy Garoppolo","SF","197.9","134.6","1,560.9","9.7","5.4","12.1","25.4","0.4","1.2","92.9"
"Davis Mills","HOU","225.9","140.5","1,622.0","8.1","6.1","15.5","66.0","0.7","1.7","92.9"
"Jacob Eason","IND","163.8","99.6","1,096.0","6.3","4.9","12.3","52.8","0.5","0.6","66.8"
"Andy Dalton","CHI","140.2","88.5","965.4","5.5","3.4","9.8","31.6","0.3","0.8","57.6"
"Sam Ehlinger","IND","96.0","54.0","574.0","3.0","3.0","6.0","21.0","0.0","0.0","31.1"
"Taylor Heinicke","WAS","44.1","27.7","306.9","1.8","1.6","5.7","22.8","0.1","0.2","18.7"
"Kyle Trask","TB","34.5","21.3","246.3","1.9","0.7","1.3","5.0","0.0","0.2","16.4"
"Mason Rudolph","PIT","35.9","22.1","243.4","1.4","0.9","2.8","9.4","0.1","0.2","14.6"
"Jacoby Brissett","MIA","32.0","20.0","226.9","1.1","0.5","4.3","14.1","0.2","0.3","14.3"
"Phillip Walker","CAR","39.6","25.1","287.5","1.0","1.0","2.0","6.1","0.1","0.5","13.4"
"James Morgan","NYJ","31.6","19.4","215.7","1.3","1.2","1.5","5.6","0.1","0.2","12.2"
"Kellen Mond","MIN","20.8","13.2","151.8","1.1","0.4","1.7","7.7","0.1","0.1","10.7"
"Joe Flacco","PHI","30.5","19.1","203.0","1.0","0.7","2.4","9.8","0.1","0.7","10.6"
"Marcus Mariota","LV","21.4","13.4","151.8","0.8","0.7","4.5","24.0","0.1","0.1","10.5"
"Gardner Minshew II","JAC","22.9","15.1","159.2","1.1","0.5","2.4","11.9","0.0","0.6","9.8"
"Tim Boyle","DET","26.3","16.3","181.0","0.7","0.3","2.7","3.3","0.0","0.0","9.6"
"Mitchell Trubisky","BUF","18.3","12.1","134.4","0.9","0.7","3.6","15.2","0.1","0.1","9.3"
"Chad Henne","KC","21.2","13.2","151.9","0.7","0.2","1.3","5.7","0.0","0.1","9.0"
"Trace McSorley","BAL","18.0","11.1","124.8","0.7","0.5","3.3","14.4","0.1","0.1","8.5"
"John Wolford","LAR","21.9","13.7","150.6","0.6","0.4","1.8","9.1","0.0","0.1","8.3"
