"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.4","1,399.2","10.2","0.8","256.0"
"George Kittle","SF","96.5","1,204.4","6.6","0.7","206.8"
"Darren Waller","LV","100.3","1,144.9","7.1","0.9","205.7"
"Mark Andrews","BAL","69.8","849.7","8.1","0.9","166.7"
"Kyle Pitts","ATL","69.0","832.6","6.4","1.2","153.6"
"T.J. Hockenson","DET","75.4","835.7","5.2","0.8","151.0"
"Dallas Goedert","PHI","63.8","704.5","5.2","0.7","131.8"
"Robert Tonyan","GB","55.6","609.2","6.5","0.1","127.3"
"Tyler Higbee","LAR","59.8","668.1","5.3","0.6","127.2"
"Noah Fant","DEN","62.1","692.3","4.4","0.6","125.6"
"Logan Thomas","WAS","63.1","648.9","5.0","0.6","124.9"
"Mike Gesicki","MIA","55.4","619.2","5.3","0.7","119.8"
"Irv Smith Jr.","MIN","52.6","582.1","5.6","0.7","116.5"
"Eric Ebron","PIT","57.9","572.1","4.5","0.7","111.8"
"Jared Cook","LAC","45.9","575.2","5.1","0.6","109.9"
"Hunter Henry","NE","53.7","583.5","4.2","0.6","109.2"
"Rob Gronkowski","TB","42.1","549.3","5.6","0.2","109.2"
"Jonnu Smith","NE","53.5","562.2","4.4","0.7","107.9"
"Evan Engram","NYG","57.5","582.7","3.6","0.7","107.5"
"Blake Jarwin","DAL","50.9","574.7","4.2","0.7","106.7"
"Adam Trautman","NO","51.3","561.1","4.2","0.7","105.5"
"Anthony Firkser","TEN","49.3","528.9","3.9","0.1","100.7"
"Austin Hooper","CLE","48.6","487.1","4.4","0.6","98.2"
"Cole Kmet","CHI","48.3","482.5","3.7","1.2","92.4"
"Zach Ertz","PHI","48.1","491.4","3.4","0.6","92.3"
"Gerald Everett","SEA","41.9","432.2","3.9","0.6","86.5"
"Jordan Akins","HOU","44.1","467.4","2.8","0.1","85.4"
"Hayden Hurst","ATL","38.5","405.0","2.9","0.1","77.3"
"Dawson Knox","BUF","33.4","384.1","3.5","0.6","75.0"
"C.J. Uzomah","CIN","36.7","357.0","3.2","0.1","73.4"
"Chris Herndon IV","NYJ","37.9","381.8","3.0","1.6","72.1"
"Jack Doyle","IND","33.6","346.6","3.1","0.1","69.6"
"Will Dissly","SEA","30.2","317.3","3.0","0.1","64.7"
"Mo Alie-Cox","IND","31.6","341.1","2.4","0.6","63.3"
"Donald Parham Jr.","LAC","28.0","339.9","2.5","0.1","62.8"
"O.J. Howard","TB","26.7","338.9","2.5","0.7","60.7"
"Dan Arnold","CAR","27.2","342.1","2.3","0.7","60.1"
"Jacob Hollister","BUF","29.1","264.0","2.3","0.6","53.8"
"David Njoku","CLE","23.4","252.8","2.6","0.0","52.3"
"Tyler Conklin","MIN","25.4","267.1","2.0","0.1","51.4"
"Jimmy Graham","CHI","23.2","242.7","2.6","0.1","51.4"
"Dalton Schultz","DAL","23.4","243.7","2.0","0.1","48.0"
"Maxx Williams","ARI","21.4","236.9","2.0","0.1","46.0"
"Nick Boyle","BAL","23.2","216.9","2.1","0.0","45.8"
"Geoff Swaim","TEN","23.2","216.3","1.8","0.1","43.8"
"Kyle Rudolph","NYG","23.1","212.2","1.8","0.1","43.2"
"Drew Sample","CIN","24.5","231.3","1.4","0.6","42.8"
"Cameron Brate","TB","22.0","206.1","1.8","0.0","42.1"
"James O'Shaughnessy","JAC","23.2","228.5","1.0","0.1","40.3"
"Darren Fells","DET","18.2","188.5","1.6","0.0","37.4"
"Harrison Bryant","CLE","18.2","196.1","1.8","1.1","37.1"
"Foster Moreau","LV","13.9","152.1","2.1","0.1","34.9"
"Pat Freiermuth","PIT","19.8","178.3","1.3","0.5","34.6"
"Albert Okwuegbunam","DEN","16.6","174.1","1.4","0.1","33.9"
"Adam Shaheen","MIA","16.2","164.4","1.9","1.0","33.7"
"Hunter Long","MIA","18.6","175.6","1.3","0.5","33.3"
"Tyler Kroft","NYJ","14.7","149.2","1.7","0.1","32.4"
"Ian Thomas","CAR","17.7","157.2","1.3","0.0","32.1"
"Ryan Izzo","HOU","12.9","213.0","1.0","1.0","31.8"
"Pharaoh Brown","HOU","15.0","162.5","1.2","0.1","30.8"
"Chris Manhertz","JAC","15.9","158.4","1.0","0.0","29.7"
"Jacob Harris","LAR","12.7","158.3","0.9","0.0","27.6"
"Noah Gray","KC","14.4","146.7","1.1","0.5","27.6"
"Matt Sokol","LAC","13.0","140.0","1.0","0.0","26.5"
"Marcedes Lewis","GB","11.5","121.4","1.4","0.0","26.3"
"Darrell Daniels","ARI","12.8","136.3","1.0","0.1","25.8"
"Brevin Jordan","HOU","12.8","131.3","1.2","0.5","25.8"
"Kyle Markway","LAR","13.0","130.0","1.0","0.0","25.5"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","25.2"
"Kahale Warring","HOU","13.0","133.5","0.8","0.0","24.8"
"Thaddeus Moss","CIN","13.0","121.0","1.0","0.0","24.6"
"Nick Vannett","NO","11.6","124.7","1.0","0.1","23.8"
"Ryan Griffin","NYJ","11.2","106.5","1.2","0.0","23.2"
"Brycen Hopkins","LAR","12.5","127.8","0.7","0.1","23.2"
"Durham Smythe","MIA","13.1","107.9","1.0","0.0","23.0"
"Luke Farrell","JAC","13.8","130.0","0.7","0.5","23.0"
"Ross Dwelley","SF","11.4","120.0","0.9","0.0","22.9"
"Hunter Bryant","DET","10.4","122.8","0.8","0.0","22.4"
"Devin Asiasi","NE","10.4","117.0","1.1","0.5","22.3"
"Kylen Granson","IND","12.3","128.4","0.6","0.1","22.3"
"John Bates","WAS","12.4","119.1","0.8","0.5","21.6"
"Austin Fort","DEN","10.0","102.0","1.0","0.0","21.2"
"Derek Carrier","LV","10.0","92.0","1.2","0.0","21.1"
"Jace Sternberger","GB","9.6","88.5","1.0","0.0","19.8"
"Stephen Carlson","CLE","8.1","88.1","1.1","0.0","19.5"
"Blake Bell","KC","10.0","94.9","0.7","0.0","18.9"
"Jordan Thomas","IND","8.3","74.0","0.7","0.0","16.0"
"Tre' McKitty","LAC","7.7","81.6","0.4","0.0","14.5"
"Tommy Tremble","CAR","8.6","85.4","0.4","0.5","14.2"
