"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","122.5","1,461.8","12.8","0.0","0.0","0.0","0.8","282.5"
"Tyreek Hill","KC","100.2","1,436.1","12.3","12.9","82.4","0.8","0.7","279.3"
"Stefon Diggs","BUF","113.6","1,476.5","9.2","2.4","15.6","0.1","1.2","259.3"
"DeAndre Hopkins","ARI","122.1","1,468.1","7.7","0.9","4.4","0.0","1.5","251.3"
"Calvin Ridley","ATL","99.8","1,422.2","8.8","4.6","26.1","0.1","0.8","246.6"
"Justin Jefferson","MIN","93.5","1,391.6","7.9","0.4","1.5","0.0","0.8","231.9"
"D.K. Metcalf","SEA","86.6","1,300.6","10.0","0.3","1.3","0.0","1.4","230.5"
"A.J. Brown","TEN","84.4","1,266.4","9.8","0.5","7.5","0.0","0.9","226.4"
"Keenan Allen","LAC","111.3","1,209.3","7.9","3.0","16.3","0.1","1.0","224.2"
"Allen Robinson II","CHI","98.6","1,227.6","7.0","0.3","0.3","0.0","0.7","212.5"
"Terry McLaurin","WAS","91.6","1,235.3","6.5","1.8","12.1","0.1","0.7","208.6"
"Robert Woods","LAR","98.0","1,088.0","6.0","17.0","106.2","0.9","0.8","208.3"
"Amari Cooper","DAL","90.3","1,195.0","7.2","2.6","11.7","0.0","0.7","207.7"
"Mike Evans","TB","76.1","1,114.0","9.4","0.0","0.0","0.0","0.7","204.5"
"Tyler Lockett","SEA","92.4","1,051.2","8.3","1.1","2.7","0.0","0.7","200.1"
"CeeDee Lamb","DAL","83.9","1,090.3","6.6","8.4","61.2","0.6","0.8","198.7"
"Adam Thielen","MIN","79.5","1,020.9","9.2","3.2","14.6","0.3","0.7","198.6"
"Cooper Kupp","LAR","93.0","1,068.2","7.2","3.9","23.6","0.1","0.7","197.6"
"D.J. Moore","CAR","83.2","1,198.8","5.4","3.1","20.1","0.1","0.8","194.9"
"Julio Jones","TEN","78.7","1,113.5","7.3","0.5","-0.5","0.0","0.7","193.0"
"Chris Godwin","TB","82.1","1,067.8","7.5","0.3","2.0","0.0","0.8","191.2"
"Tee Higgins","CIN","79.2","1,058.2","6.4","2.3","12.4","0.0","0.8","183.6"
"Diontae Johnson","PIT","94.0","982.5","6.3","4.4","27.3","0.1","1.4","183.3"
"Courtland Sutton","DEN","74.3","1,055.3","6.7","1.7","9.4","0.0","0.8","182.2"
"Odell Beckham Jr.","CLE","71.1","993.9","6.5","5.7","50.9","0.3","0.7","179.6"
"Kenny Golladay","NYG","71.1","1,055.9","6.6","0.0","0.0","0.0","0.7","179.6"
"Ja'Marr Chase","CIN","73.3","1,059.4","6.2","1.5","8.2","0.0","1.2","178.1"
"D.J. Chark Jr.","JAC","75.3","1,005.8","6.5","0.3","3.3","0.0","0.6","176.3"
"Brandon Aiyuk","SF","72.1","915.3","6.3","14.6","82.4","0.7","0.7","176.2"
"Brandin Cooks","HOU","75.2","1,051.2","5.3","0.8","6.8","0.0","0.7","173.6"
"JuJu Smith-Schuster","PIT","89.4","903.2","6.7","0.0","0.0","0.0","0.9","173.4"
"Chase Claypool","PIT","69.7","893.5","6.8","8.3","44.2","0.6","0.9","171.6"
"Robby Anderson","CAR","80.4","991.3","5.2","2.5","12.3","0.1","0.8","170.8"
"Deebo Samuel","SF","70.5","898.6","4.7","13.5","99.2","0.7","0.8","166.0"
"Tyler Boyd","CIN","83.0","923.1","5.2","2.1","15.7","0.0","0.8","165.4"
"Jerry Jeudy","DEN","68.9","981.2","5.2","0.0","0.0","0.0","0.8","162.1"
"Michael Gallup","DAL","64.2","942.3","5.9","0.0","0.0","0.0","0.6","160.4"
"Jarvis Landry","CLE","73.5","884.9","5.1","1.9","9.9","0.3","0.8","157.2"
"Michael Thomas","NO","75.4","898.2","4.9","0.3","-0.8","0.0","0.7","155.8"
"Marquise Brown","BAL","61.0","823.4","7.0","1.5","8.0","0.0","0.6","154.4"
"Laviska Shenault Jr.","JAC","70.1","771.0","5.0","19.2","106.5","0.5","0.7","154.3"
"Curtis Samuel","WAS","63.4","747.2","4.9","24.7","128.6","1.1","0.7","153.6"
"DeVante Parker","MIA","67.1","856.4","5.7","0.0","0.0","0.0","0.7","152.3"
"Mike Williams","LAC","55.2","902.2","5.4","0.3","0.5","0.0","0.6","149.1"
"Will Fuller V","MIA","66.5","847.9","5.3","0.0","0.0","0.0","0.6","148.6"
"DeVonta Smith","PHI","63.3","890.0","4.8","1.0","6.2","0.0","1.2","147.9"
"T.Y. Hilton","IND","62.6","829.0","5.4","0.0","0.0","0.0","0.6","145.3"
"Corey Davis","NYJ","68.1","883.5","3.8","0.0","0.0","0.0","0.8","143.8"
"Marvin Jones Jr.","JAC","60.1","761.7","5.4","0.3","0.0","0.0","0.6","137.4"
"Darnell Mooney","CHI","64.6","768.2","4.5","2.7","15.5","0.0","0.7","136.6"
"Antonio Brown","TB","61.4","686.1","6.0","2.0","11.4","0.0","0.6","135.1"
"Mecole Hardman","KC","51.6","720.6","5.5","6.4","43.8","0.1","1.7","132.7"
"Jaylen Waddle","MIA","57.2","765.6","4.7","1.0","5.6","0.0","1.2","131.4"
"Cole Beasley","BUF","64.0","738.9","4.4","0.0","0.0","0.0","0.6","131.2"
"Russell Gage","ATL","66.6","724.4","4.1","1.3","6.1","0.0","0.6","129.5"
"Breshad Perriman","DET","53.3","774.8","4.0","1.7","9.9","0.0","0.1","129.2"
"Emmanuel Sanders","BUF","57.0","696.4","5.0","1.1","6.7","0.1","0.6","127.6"
"Michael Pittman Jr.","IND","56.9","744.0","3.9","3.4","22.6","0.0","0.7","127.3"
"Henry Ruggs III","LV","49.2","758.8","4.1","7.6","42.0","0.1","1.7","126.9"
"Tyrell Williams","DET","53.6","774.7","4.0","0.0","0.0","0.0","0.7","126.8"
"Nelson Agholor","NE","51.3","724.1","4.4","0.3","1.3","0.0","0.7","123.3"
"Jalen Reagor","PHI","53.8","724.1","3.8","3.1","17.5","0.1","0.7","123.1"
"Tre'Quan Smith","NO","45.6","649.7","5.4","0.3","0.5","0.0","0.1","120.0"
"Elijah Moore","NYJ","56.4","682.8","3.7","0.7","4.2","0.0","0.4","118.7"
"Sterling Shepard","NYG","60.6","617.0","3.5","3.3","26.1","0.3","0.6","116.3"
"Gabriel Davis","BUF","42.8","631.2","5.0","0.3","0.0","0.0","0.1","114.4"
"A.J. Green","ARI","50.6","619.9","3.9","0.0","0.0","0.0","0.7","109.4"
"Randall Cobb","GB","50.6","611.9","3.8","1.5","7.6","0.0","0.7","108.9"
"Christian Kirk","ARI","48.0","582.2","4.1","3.9","26.9","0.0","0.6","108.6"
"Jamison Crowder","NYJ","53.1","594.0","3.6","0.3","3.3","0.0","0.6","106.4"
"John Brown","LV","46.4","627.9","3.6","0.3","1.0","0.0","0.6","106.2"
"Rashod Bateman","BAL","43.8","578.9","4.4","0.8","4.8","0.0","0.6","105.1"
"Rondale Moore","ARI","49.8","616.0","3.4","1.1","6.1","0.0","1.2","105.1"
"Parris Campbell","IND","44.3","536.6","3.3","4.8","30.0","0.1","0.4","98.8"
"Terrace Marshall Jr.","CAR","44.7","583.7","3.2","0.5","2.8","0.0","1.1","98.1"
"Darius Slayton","NYG","42.1","568.7","3.5","0.8","2.6","0.0","0.6","97.9"
"Allen Lazard","GB","40.8","551.3","3.7","1.3","9.7","0.0","0.6","97.4"
"DeSean Jackson","LAR","35.5","560.1","3.6","2.8","17.1","0.1","0.6","96.4"
"Jakobi Meyers","NE","45.2","573.1","2.5","0.8","4.1","0.0","0.4","95.0"
"Hunter Renfrow","LV","42.5","510.4","2.9","0.0","0.0","0.0","0.6","88.4"
"Van Jefferson","LAR","39.3","475.1","3.3","1.4","5.8","0.0","0.1","87.9"
"Anthony Miller","HOU","41.9","499.6","2.7","2.2","10.3","0.1","0.7","87.4"
"Josh Reynolds","TEN","36.1","469.1","3.1","0.8","4.5","0.0","0.6","82.8"
"Denzel Mims","NYJ","35.4","502.7","2.3","0.3","0.8","0.0","0.1","82.0"
"Keelan Cole Sr.","NYJ","37.0","475.9","2.6","0.0","0.0","0.0","0.5","81.0"
"Marquez Callaway","NO","37.4","456.8","2.8","0.0","0.0","0.0","0.2","80.7"
"Chris Conley","HOU","34.7","489.3","2.6","0.0","0.0","0.0","0.6","80.7"
"Sammy Watkins","BAL","34.9","428.8","3.3","0.8","7.5","0.0","0.6","79.9"
"Amon-Ra St. Brown","DET","38.1","461.0","2.3","0.0","0.0","0.0","0.2","78.7"
"D'Wayne Eskridge","SEA","34.1","419.4","3.2","1.5","8.1","0.1","0.2","78.6"
"James Washington","PIT","33.3","452.2","2.9","0.0","0.0","0.0","0.6","78.1"
"Marquez Valdes-Scantling","GB","25.7","438.1","3.3","2.5","14.8","0.0","0.6","77.2"
"Demarcus Robinson","KC","34.2","410.8","3.2","0.0","0.0","0.0","0.6","76.2"
